Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Flair Espresso Maker,Rosie,2163,,Type 4 128/78,FlairEspresso,flairespresso,,UC_t7lJPh4kpIxgdRmTFi1Qg,In Progress,,,4,128,78
"Slugs and Bugs - TWO ""Sing the Bible"" CDs!",Joseph,864,11,Type 4 127/73,slugsandbugs,slugsandbugs,randallgoodgame,,Done,,,4,127,73
Nothing Beyond'- The Visual Mixtape,Joseph,1460,,Type 4 127/100,kyanmusic,kyanmusic,kyanmusic,,Done,,,4,127,100
Those Who Deserve to Die,Lauren,1877,,Type 4 126/93,twd2d,,,,Done,,,4,126,93
Sugar Fueled Sweet Seconds,Church,125,2,Type 4 126/83,sugarfueledart (p),sugarfueled,sugarfueled,,Done,In Progress,,4,126,83
The Human Project - a short film,Rosie,997,7,Type 4 126/83,"chelseaaldenofficial
thehumanprojectfilm","ChelseaAlden
HumanProj_Film","chezlbee
thehumanprojectfilm",,Done,,,4,126,83
Mary Bond's New Book: Your Body Mandala,Rosie,2107,,Type 4 126/77,HealYourPosture,yourbodymandala,,newrulesofposture,In Progress,,,4,126,77
Harvard-Radcliffe Orchestra 2017 Argentina Tour,Lauren,1324,11,Type 4 125/93,hrorchestra,,,,Done,,,4,125,93
Editing THIN ICE climate science documentary for broadcast,Church,135,7,Type 4 125/90,ThinIceClimate,thiniceclimate,,,Done,,,4,125,90
A High Resolution Full Color 3D Printer,Lauren,1571,,Type 4 125/88,nix.nixtek,tomatobynixtek,tomatobynixtek,,In Progress,,,4,125,88
Heroine Debut EP!,Lauren,673,11,Type 4 125/87,heroine.music.nyc,heroine_nyc,heroine.music.nyc,,Done,,,4,125,87
The Inflated Story of Noah,Thomas,1849,,Type 4 125/76,"inflatedstory, cdbellamy(p)",,,,In Progress,,,4,125,76
MÃ_rchen Playing Cards,Lauren,1218,9,Type 4 125/56,forgeartsco; rareplayingcards,forgeartsco; raredecks,rareplayingcards; forgearts,,Done,,,4,125,56
INK BRICK,Lauren,653,2,Type 4 124/90,inkbrick,inkbrick,,,Done,,,4,124,90
The Family Discipleship Bible,Ellen,1563,,Type 4 124/66,familydiscipleshipbible,,familydiscipleshipbible,UCH-mNlY3X7jzR4GlSiB4OWQ,In Progress,,,4,124,66
"Boston Underground Film Festival: March 22-26, 2017",Rosie,1069,7,Type 4 123/93,bostonunderground,BOSunderground,,,Done,,,4,123,93
Toys That Time Forgot - A book about unproduced toys,Lauren,984,13,Type 4 123/90,toysthattimeforgot,lpmmagazine,lpmmagazine,,Done,,,4,123,90
Phile Magazine,Rosie,483,13,Type 4 123/83,philemagazine,,philemagazine,,Done,,,4,123,83
"Stan Bann's ""Penmanship"" Jazz Trombone Recording",Ellen,1437,,Type 4 123/77,stanbannmusic,sb3jazz,,,Done,,,4,123,77
OORR - Odourless Gym tops & Pro Cycling kit made with Coffee,Church,2136,,Type 4 123/77,OORRapparel,oorr,oorr,,Done,,,4,123,77
For Freedom - Das Hund,Lauren,338,11,Type 4 123/74,,_das_hund,jen_lewandowski,,Done,,,4,123,74
Longings & Liturgies - A New Album by Dave Siverns,Rosie,1242,11,Type 4 123/73,davesivernsmusic,dsiverns,dsiverns,dsiverns,In Progress,,,4,123,73
IRMA WY - Storytelling jewelry handcrafted in Bali,Church,1689,6,Type 4 123/100,BijouxVetementCouture,,"irmawy, irmawy_official",,Done,,Tumblr: irmawy,4,123,100
NICO'S FORTUNE,Lauren,518,2,Type 4 122/83,ryan.king.1671?hc_ref=SEARCH&fref=nf (p),ryyyan_kiiing,ryyyan_kiiing,,In Progress,,,4,122,83
Byte | Street Food Inspired Geek Pub,Church,2180,,Type 4 122/79,Bytemn,,,,Done,,,4,122,79
COOKIE TONGUE New Album: ORPHAN ARMS,Rosie,2027,,Type 4 122/71,"CookieTongue
",,omergalart,,Done,,,4,122,71
The Bridge That Love Built,Lauren,987,13,Type 4 122/70,thebridgethatlovebuilt,bridgelovebuilt,thebridgethatlovebuilt,,Done,,,4,122,70
Muffin Top,Zoe,4,7,Type 4 121/94,"MuffinTopFilm
Cathryn Michon","thegrrlgenius
muffintopmovie",,,Done,,Need to Add Image URL's,4,121,94
MATCHOLOGY: Wedding submissions made simple,Rosie,1042,14,Type 4 121/86,aislesociety,aislesociety,aislesociety,,Done,,,4,121,86
When I Leave,Ellen,1407,,Type 4 121/86,When-I-Leave-1630633347231284,AlexisSBarone,,,,,,4,121,86
Utter Fabrication: Tales of Haunted Houses and Weird Places,Joseph,1147,13,Type 4 121/82,madscijournal,madscijournal,,,Done,,,4,121,82
Women Change-Makers: a colouring book,Lauren,689,1,Type 4 121/70,JMPaterson-251114321680790,jmpatersonart,jm.paterson,,Done,,,4,121,70
SENIORS,Rosie,48,7,Type 4 120/94,"GormanBechard (p) 
SENIORSdocumentary (b)
OldFriendsSeniorDogSanctuary (b)","aDOGnamedGUCCI
SENIORSdoc
GormanBechard",GormanBechard,,Done,In Progress,,4,120,94
Dragon Dodge,Church,818,9,Type 4 120/91,hiddencreekgames,CreekGames,,,Done,,,4,120,91
Odyssey Star Wars Fan Film,Rosie,325,7,Type 4 120/74,odyssey.starwars,StarWarsOdyssey,"markalexvogt
",,Done,,Page 692,4,120,74
THE HUNT: An Immersive Theater Production,Rosie,1985,,Type 4 119/96,jointhehuntnyc,jointhehuntnyc,jointhehuntnyc,,Done,,,4,119,96
Senturies: A Comic Book,Lauren,488,2,Type 4 119/94,,ramondsgil,,,Done,,,4,119,94
"unbag magazine: an arts, culture, & politics publication",Church,572,13,Type 4 119/94,"unbagnyc, awentz (p), Artist.is.art (p)",frenchtron,,,In Progress,,,4,119,94
Electric Car Insider,Church,248,10,Type 4 119/92,electriccarinsider,ecarinsider,,,Done,,,4,119,92
"M&K's Tea -- tea flavored honey, unique tea blends, & more!",Thomas,1743,,Type 4 119/90,mksteaco,,,,Done,,,4,119,90
60 Years of Jazz Documentary ,Rosie,764,11,Type 4 119/87,MontereyJazzFestival,MontereyJazz,,,In Progress,,Won't scrape twitter,4,119,87
Social Justice T-Shirt Company - Liberty's With Her,Rosie,2002,,Type 4 119/100,"WearMyValues
Trekspert1 (p)",WearMyValues,,,In Progress,,,4,119,100
Hey Rocco,Lauren,355,13,Type 4 119/ 73,heyroccoteam,heyroccoteam,heyroccoteam,,Done,,,4,119,
Trading Races,Lauren,695,9,Type 4 118/93,tradingracesgame,tradingraces,tradingraces,,Done,,,4,118,93
Eyewear Handcraft Hemp,Rosie,758,5,Type 4 118/90,hempeyewear,hempeyewear,hempeyewear,,Done,,,4,118,90
PaxBowl,Lauren,1351,5,Type 4 118/87,rykopetgear,rykopetgear,,,Done,,,4,118,87
An American Dream,Ellen,880,7,Type 4 118/100,AnAmericanDreamFilm,,,,Done,,,4,118,100
POP OUT at the International Human Rights Art Festival,Ellen,1541,,Type 4 117/96,SirAriGold,sirarigold,sirarigold,sirarigold,In Progress,,,4,117,96
Orion Sun Systems 1000W Solar Generator,Lauren,284,14,Type 4 117/90,pyramidsolar1,,,UCcnAiQbVBGyi4fYz5aWBk6g,In Progress,,,4,117,90
FICTION & OTHER REALITIES - A Big Phony Music Feature Film,Joseph,974,7,Type 4 117/90,bigphony,bigphony,bigphony,bigphony,Done,,,4,117,90
Eating Up Easter,Lauren,341,7,Type 4 117/87,eatingupeaster,eatingupeaster,smrapu,,Done,,,4,117,87
Found Girls Lost Boys,Church,438,7,Type 4 117/87,"PansFilm, rebecca.woolf (p)",girlsgonechild,"pansfilm, girlsgonechild",,In Progress,,,4,117,87
RARE IS EVERYWHERE!,Church,1827,,Type 4 117/86,Rareiseverywhere,RareEverywhere,,,Done,,,4,117,86
Eavesdrop Album,Rosie,627,11,Type 4 117/84,EavesdropTrio,EavesdropTrio,EavesdropTrio,,Done,,,4,117,84
The Light of Deaf Women,Church,104,13,Type 4 117/81,"GlobalDeafWomen, SofiaSeitchik",globaldeafwomen,"globaldeafwomen, sofiaseitchik",UCb5qjxflVb0UcPLEPvIxQeA,Done,In Progress,,4,117,81
Two Fold: Not-So-Basic Basics,Rosie,1195,6,Type 4 117/80,"twofoldclothing
morgan.wagstaff1 (p)",twofoldclothing,twofoldclothing,,Done,,,4,117,80
TEASCARF BROOKLYN,Church,713,6,Type 4 117/77,Teascarf,,,,Done,,Bad data?,4,117,77
In My Dreams Art Residency,Rosie,1884,,Type 4 117/77,Letspainttv (p),letspainttv,letspainttv,,In Progress,,,4,117,77
Mother of Mortals: A Tale of the Nepheleid,Rosie,1024,13,Type 4 117/67,"pat.bellavance (p)
ArcanaCreations",arcanacreations,,,In Progress,,,4,117,67
Beneficial Shock! Magazine,Joseph,945,13,Type 4 117/60,beneficialshock,beneficialmag,beneficialshockmag,,Done,,,4,117,60
BEEP! BEEP! 2ND STORY IS ON THE MOVE!,Joseph,1617,,Type 4 116/84,2ndStoryChicago,2ndStory,,2ndstoryChicago,Done,,,4,116,84
Frutti di Mare,Lauren,470,9,Type 4 116/79,blackboxadventures,adventuresbox,,,Done,,,4,116,79
Without Disguise: starring David Ajala & Angela Sarafyan,Joseph,1593,,Type 4 116/74,contentmode,contentmode,contentmodemagazine,,Done,,,4,116,74
Album #3: Governor's Square,Lauren,2029,,Type 4 116/74,chamberband,chamberband,chamberband,,In Progress,,,4,116,74
