Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Operation Outreach-Stopping The Violence,Ellen,1917,,Type 3 0/na,TexasAllianceforCrimePrevention,tacp_1,,,Done,,,3,0,0
Dead Exit - The Graphic Novel,Ellen,1920,,Type 3 0/na,deadexitcomic,"dougshiloh, deadexitcomic",,,Done,,,3,0,0
The-Hub - A new home for social media users,Rosie,1931,,Type 3 0/na,,thehub2017,,,Done,,,3,0,0
MoreThanOfficial Music Group Album,Lauren,1942,,Type 3 0/na,morethanofficialmg,jookz420,jaejookz420 (p),,In Progress,,,3,0,0
PigSkin Pilgrim,Rosie,1944,,Type 3 0/na,pigskinpilgrims,,,,Done,,,3,0,0
Business Travel Belt. Clear Airport Security Effortlessly.,Ellen,1967,,Type 3 0/na,Buckle1922,Buckle1922,buckle1922,,In Progress,,,3,0,0
COOLERS THAT BUMP: BATTERY-POWERED SPEAKER COOLER,Ellen,1986,,Type 3 0/na,coolersthatbump,,,,Done,,,3,0,0
"Tectonic Series: Water-repellent, Light-weight and Packable",Lauren,1987,,Type 3 0/na,machineny,,,,Done,,,3,0,0
100 Original Totally Imagined Faces,Lauren,2004,,Type 3 0/na,,kevingearyart,,,Done,,,3,0,0
GENESIS - Automatic Video Uploader,Ellen,2009,,Type 3 0/na,EyeOfSniik,SenorHop,eyeofsniik,UCtOctwh-VfT9pOToli0FeLA,In Progress,,,3,0,0
Alysia Hamner's Angel Journal's,Rosie,2035,,Type 3 0/na,,alysiahamner,,,Done,,,3,0,0
P U R E WATER,Ellen,2039,,Type 3 0/na,PURE0000,PURE_50555245,,,Done,,,3,0,0
First and ONLY Local Spanish TV Channel in SC,Rosie,2061,,Type 3 0/na,"VidaTVNet
DrMarcG (p)",,vidatvnet,,In Progress,,,3,0,0
Freezylist.com - Real Estate Reinvented for Property Owners,Lauren,2074,,Type 3 0/na,freezylist,freezylist,,UCCdkFbK7DqO7JjwwpLU8oWQ,In Progress,,,3,0,0
Konfident Dance Studio,Lauren,2079,,Type 3 0/na,konfidentdancestudio,,,,Done,,,3,0,0
Blaqspot Afro-Social App Development,Rosie,2082,,Type 3 0/na,"blaqspotsocial
lashell.howardclewis (p)",,,,In Progress,,,3,0,0
The Right Food App,Lauren,2088,,Type 3 0/na,,rightfoodapp,rightfoodmovement,,In Progress,,,3,0,0
Anburu Lil Kum Ba,Jessica,2119,,Type 3 0/na,Anburuisforkids,Anburuisforkids,,ANBURU Isforkids,,,,3,0,0
"Fitness Guide - ""Worth Fit"" 12 Week Workout",Jessica,2121,,Type 3 0/na,alexjanept,,alexjanept,,,,,3,0,0
Locavore Mercantile Cooperative: A Community Cooperative,Rosie,2132,,Type 3 0/na,LocavoreMercantile,,,,Done,,,3,0,0
2017 The Best Dating App! Time 4 a Change! Plz Share&Support,Rosie,2146,,Type 3 0/na,"BlackAndGoldEagle
Mr.Hanni.B (p)",blackngoldeagle,,,In Progress,,,3,0,0
Yuma Bella Handbags,Ellen,2154,,Type 3 0/na,yumabellahandbags,yumabella,yuma_bella,,In Progress,,,3,0,0
Little John and Meatball Animated TV Series,Ellen,2155,,Type 3 0/na,,ljohnnmeatball,,,Done,,,3,0,0
Fleet Wars: Space Pioneers,Rosie,2173,,Type 3 0/na,"fleetwars2016
guy.spasic (p)",,,,In Progress,,,3,0,0
The Business Magazine for Women,Ellen,2177,,Type 3 0/na,,TBM4W,,,Done,,,3,0,0
The Donald and my studio,Ellen,2195,,Type 3 0/na,blacksheepbrushstrokes,callierussell2,,,Done,,,3,0,0
Nutrient Dense | Plant Based | Powder Blends | Porshn Size,Rosie,2196,,Type 3 0/na,porshn,,porshn,,In Progress,,,3,0,0
DEANGELO NEDIO: ASPIRING R&B ARTIST,Rosie,2264,11,Type 3 0/na,lamar.nedio (p),,soul4remedies,,In Progress,,,3,0,0
The self documenting system,Lauren,2272,14,Type 3 0/na,,orcaintel,,,Done,,,3,0,0
"DC'S FIRST SUSTAINABLE, FUSION WINE BAR!",Lauren,2273,8,Type 3 0/na,districthostess,,districthostess,,Done,,,3,0,0
Numbered Out Mobile App Game,Joseph,2274,9,Type 3 0/na,numberedout,,,,Done,,,3,0,0
Minuteman Cafe,Joseph,2280,8,Type 3 0/na,2.31919E+14,,,,Done,,,3,0,0
Water Leak Detection and Usage Monitoring for your home,Lauren,2282,14,Type 3 0/na,dynosonic,,,,Done,,,3,0,0
Mountain Belt,Lauren,561,5,Type 2 985/3,craftnlore,craftnlore,craftnlore,,Done,,,2,985,3
Munchkin Shakespeare,Church,1107,9,Type 2 983/1,sjgames,sjgames,stevejacksongames,SteveJacksonGames,In Progress,,,2,983,1
Storyclock Notebook,Church,416,5,Type 2 978/7,awakelander (p),awakeland3d,awakeland3d,,In Progress,,,2,978,7
Elder Dice - Cthulhu Mythos Themed Dice for Tabletop Gamers,Rosie,895,9,Type 2 969/1,david.larocca,ArtByLaRocca,davidlarocca,,Done,,,2,969,1
NEKOPARA Anime OVA,Joseph,1613,,Type 2 963/1,SekaiProject,sekaiproject,sekai_project,SekaiPro,In Progress,,,2,963,1
GKR: Heavy Hitters,Ellen,1401,9,Type 2 935/3,WetaWorkshop,wetaworkshop,,wetanz,In Progress,,,2,935,3
MapForge,Church,882,9,Type 2 911/4,battlegroundsgames,herucaBRPG,,heruca,In Progress,,,2,911,4
Ecomo: The Worldâ€™s First Bottle That Tests & Filters Water,Church,2246,,Type 2 906/2,ecomolabs,ecomolabs (502),,,Issue,,twitter 502,2,906,2
Transmissions 3 - Robot art book by Matt Dixon,Jessica,1493,,Type 2 901/1,ArtOfMattDixon,MattDixonArt,,,Done,,Patreon: MattDixon,2,901,1
Court of the Sultana by Effincool Miniatures,Rosie,1176,9,Type 2 889/7,effincoolmini,EffinCoolMinis,,,Done,,,2,889,7
JW WEEKENDER | Your Perfect Travel Partner | 3-bags-in-1,Lauren,1911,,Type 2 876/10,monykerbags,monykerbags,monykerbags,,In Progress,,,2,876,10
FLATPAC: Just Pack & Unpack In A Second,Rosie,1278,5,Type 2 869/1,tronnovate,TRONNOVATE,tronnovate,,Done,,,2,869,1
PLAYBULB color - Smart Color Light & Wireless Speaker 2-in-1,Church,212,14,Type 2 855/3,mipowglobal,MipowGlobal,mipowglobal,MiPowInc,In Progress,,Instagram wont scrape,2,855,3
The Aviary Cocktail Book,Jessica,114,8,Type 2 847/1,"The-Aviary-116137495084710,
roisterchicago",AviaryCocktails,,Aviary Cocktails,In Progress,,,2,847,1
Cold Shadows - Narrative Espionage Roleplaying,Church,696,9,Type 2 839/1,"gallantknightgames, bahr.alan (p), Nocturnal-Media-482075538508775","stewartwieck, GallantKGames, alanbahr",,,In Progress,,,2,839,1
The Drifter - Artful Toy Car,Lauren,1356,5,Type 2 839/1,candylabtoys,,candylabtoys,,Done,,no twitter posts during period,2,839,1
Selfly Camera,Rosie,622,14,Type 2 838/17,selfly.camera,SELfly_Camera,selfly.camera,,Done,,,2,838,17
Milivoj Ceran,Church,1302,13,Type 2 834/1,"Norse-Mythology-book-853014011422948, mceran.art (p), theArtOrder",ArtOrder,"theartorder, mceran.art",,In Progress,,,2,834,1
ZEROHOUR REBEL: EDC Microlight Flashlight Fidget Spinner,Ellen,2257,5,Type 2 815/3,ZeroHourInnovations,zerohourxd,zerohourxd,zerohourinnovations,In Progress,,,2,815,3
A Strange Box,Church,1191,9,Type 2 814/1,montecookgames,montecookgames,,UCJ-GovscT30xbrahGMM4VAw,Done,,,2,814,1
LEVITAT,Lauren,474,5,Type 2 813/8,levitatfly,levitatfly,levitatfly,UCUwAbYSPm64iRsBBzYNuwpQ,In Progress,,,2,813,8
Arkham Ritual,Church,1039,9,Type 2 809/7,ninjastargames,Dan_NinjaStar,ninjastargames,,Done,,,2,809,7
Sundered - A horrifying fight for survival and sanity,Joseph,1512,,Type 2 808/1,jotungame,JotunGame,,,Done,,,2,808,1
Zombie Tsunami,Lauren,490,9,Type 2 787/4,luckyduckgames; zombietsunamitheboardgame,lduckgames,,,Done,,,2,787,4
Aradia Miniatures,Rosie,329,9,Type 2 785/5,Aradia-Miniatures-180743868777695,,,,Done,,,2,785,5
Relic Knights: 2nd Edition,Church,943,9,Type 2 773/1,NDSPM,ninjadiv,,UCjQobiNLjVPS98E3-PQiJ8Q,In Progress,,,2,773,1
Luxumbra: Infinity Collectors,Rosie,1235,9,Type 2 758/1,Luxumbra-233432543708591,,luxumbra_,,Done,,,2,758,1
JellyTank,Lauren,1308,5,Type 2 755/7,jellytanks,jellytanks,jelly.tank,,Done,,,2,755,7
DUN FOLD - World's first contactless wallet,Lauren,482,13,Type 2 753/1,dundesign,dunwallets,dunwallets,UCYiuyoUIzTiyUKEY_wbiwug,In Progress,,,2,753,1
AstroBox Touch,Rosie,530,14,Type 2 747/1,AstroPrint,AstroPrint3D,astroprint,,Done,,,2,747,1
Numenera Audio Collection from Plate Mail Games,Ellen,1048,9,Type 2 744/3,"wes.otis (p), Platemailgames",platemailgames,,,In Progress,,,2,744,3
Fear's Sharp Little Needles,Rosie,793,9,Type 2 738/1,StygianFoxPublishing,stygianfoxhq,,,Done,,Twitter not used,2,738,1
The best trench coat in the world,Church,1686,5,Type 2 731/13,AntarPenguin,,antarpenguin,UCr6mVzLD_I2JqFnpy9TreOg,In Progress,,,2,731,13
Antidote: Lab Alliance,Church,1307,9,Type 2 731/1,"bellwethergames, antidotecardgame",bellwethergames,,,Done,,,2,731,1
21 Draw University,Lauren,327,1,Type 2 718/7,21draw,21_draw,,UC-GsUQ3v-Quk8QmdpJ2c8UA,In Progress,,,2,718,7
Vincent Van Gogh Action Figure,Rosie,1285,5,Type 2 713/24,todayisartday,todayisartday,todayisartday,,Done,,,2,713,24
Pax Cthuliana,Lauren,450,9,Type 2 689/3,twostarvinggnolls,tsg_gnolls,,,In Progress,,,2,689,3
Anarchy Models - HS Stencils - Flexible & Fully Re-usable,Jessica,239,9,Type 2 679/1,Anarchymodels.co.uk,,,,Done,,,2,679,1
Ott - 'Mir' on highest-quality double vinyl.,Joseph,1714,,Type 2 652/1,ottsonic,,,,Done,,,2,652,1
Spoolee,Church,259,5,Type 2 627/5,gospoolee,"raywalkerdesign, GoSpoolee",gospoolee,,Done,In Progress,,2,627,5
Evolution Brush: 1st Ever Shave Brush to Fit on Shaving Cans,Jessica,106,5,Type 2 620/3,legacyshave,LegacyShave,legacyshave,Legacy Shave,In Progress,,,2,620,3
Long Live The Queen,Church,636,9,Type 2 618/4,LudiCreations,ludicreations,,LudiCreations,In Progress,,,2,618,4
"The Articulate Clutch: Functionality, Affordability & Style",Church,222,5,Type 2 612/10,ArticulateWallets,articulate_shop,articulate_,,Done,In Progress,,2,612,10
"Senstone, Never Miss a Note Again",Rosie,1017,14,Type 2 604/5,getsenstone,GetSenstone,getsenstone,UC9lmc95H6SA2AytviZ9HUAg,In Progress,,,2,604,5
The Brady Tarot: Natural History Meets The Esoteric,Joseph,929,,Type 2 591/6,EmiBradyArt,tinybrownbird,tinybrownbird,,Done,,,2,591,6
The Evergraph. A Classic yet Modern Automatic Watch by Xeric,Ellen,857,5,Type 2 591/2,"xericwatches, Watchesdotcom","xericwatches, watchesdotcom","xericwatches, watchesdotcom",watchismo,In Progress,,,2,591,2
sPEN,Church,637,5,Type 2 586/1,VitalCarry,vitalcarry,vitalcarry,,Done,,,2,586,1
LittleArm 2C - Mini Arduino Robot Arm for STEM and Hobby,Ellen,2028,,Type 2 584/1,slantrobotics,SlantConcepts,,,Done,,,2,584,1
By Order of the Queen,Rosie,1027,9,Type 2 577/6,junkspiritgames,"junkspiritgames
dagerr",,,Done,,,2,577,6
Larry Hama Action Figure,Church,847,1,Type 2 568/1,FreshMonkeyFiction,FreshMonkeyFic,freshmonkeyfiction,,Done,,,2,568,1
REBELLIOUS Swiss,Church,820,5,Type 2 5679/1,livwatches,livwatches,livwatches,livswisswatches,In Progress,,,2,5679,1
Macchina,Lauren,1350,14,Type 2 567/3,macchinahardware,macchinacc,,,Done,,,2,567,3
MeArm Pi - A robot arm anyone can build,Church,1458,,Type 2 563/1,mimeindustries,mimeindustries,,UCT7xVC47h8UeRZtAeDfknXA,In Progress,,,2,563,1
Exodus: Event Horizon,Church,1203,9,Type 2 561/1,NSKNGames,NSKNGames,,,Done,,,2,561,1
UnPresidented: Trump's Inaugural & the People's Response,Rosie,1950,,Type 2 558/13,"focusonthestoryblog
",cosmicsmudge,,,In Progress,,,2,558,13
Heavy Gear Blitz,Church,237,9,Type 2 557/6,DreamPod9,,,,Done,,Lots of pre-hype posts and forum presence; likely outlier,2,557,6
RUNE Rings - Affordable Carbon Fiber and Glow Resin Rings,Rosie,1137,6,Type 2 551/20,runerefinery,,runerefinery,UCJJ27gdce9aPgkaJnLtUMEw,In Progress,,,2,551,20
Champions of Midgard: The Expansions,Ellen,1537,,Type 2 5413/1,GreyFoxGames,GreyFoxGames,greyfoxgames,,Done,,,2,5413,1
Wearing the Cape,Church,1033,9,Type 2 538/5,wearingthecape,,,,Done,,,2,538,5
Julia Nunes,,14,11,Type 2 537/3,julianunesmusic,JuliaNunes,,,Done,,,2,537,3
Turf War Z,Rosie,359,9,Type 2 528/3,"Studio-Miniatures-303037089788959
brokenspiritwargames",,,,Done,,,2,528,3
DIY Mini Lego Drone Kit!,Joseph,2289,14,Type 2 528/1,kitables,Kitables,kitables.co,,Done,,,2,528,1
Ember Blaze - True Wireless Stereo Earbuds,Rosie,1190,14,Type 2 526/7,Ember-Blaze-1791563601099510,,,,Done,,,2,526,7
The Ridge Stand Plus: See eye to eye with your Apple device,Joseph,1420,,Type 2 523/4,ridgestand,TheRidgeStand,,,Done,,,2,523,4
Campy Creatures,Church,1317,9,Type 2 519/6,KeymasterGamesLLC,KeymasterGames,keymastergames,,Done,,,2,519,6
Fret Zeppelin - Play Guitar in 60 Seconds,Ellen,1768,,Type 2 518/25,"FretZeppelin, drinkmatebac","FretZeppelin, drinkmatebac",FretZeppelin,,In Progress,,,2,518,25
Remembering Rhinos,Church,935,12,Type 2 517/1,"MargotRaggettPhotography, rememberingrhinos","RememberRhinos, margotraggett",margotraggettphotography,,Done,,,2,517,1
Mr Biffo's Found Footage,Rosie,2223,,Type 2 515/1,digitiser2000,mrbiffo,,,In Progress,,Twitter won't scrape,2,515,1
Magpie Goose: bold fashion from the Top End,Ellen,952,6,Type 2 512/1,magpiegoose.nt,,magpiegoose.nt,,Done,,,2,512,1
Halfsies Dice - The World Tour,Church,1162,9,Type 2 511/1,KeeperoftheGateGames,GateKeeperGamin,,,Done,,,2,511,1
Tavern Masters - Extended Print Run,Rosie,830,9,Type 2 510/19,DannKrissGames,DannKrissGames,dannkrissgames,,Done,,,2,510,19
Vinco Fly,Lauren,730,5,Type 2 508/7,vincolife,vincolife,,,Done,,,2,508,7
YaÃœ - Caramoolized Organic Vietnamese Yogurt,Ellen,1388,8,Type 2 502/8,caramoolized,caramoolized,,,Done,,,2,502,8
Findster Duo - The 1st GPS Pet Tracker Free of Monthly Fees!,Joseph,1835,,Type 2 502/18,findster,getFindster,getfindster,FindsterTechnologies,In Progress,,,2,502,18
BraeÃ¶n â€“ World's Strongest and Most Adaptable Material,Ellen,1605,,Type 2 499/24,BraeonCo,BraeonCo,braeonco,UCeGF2CO2-Qa-DAFmLdGeNPg,In Progress,,,2,499,24
Firefly Drinking Songsâ€_ Continued,Church,75,11,Type 2 497/3,marcgunnmusic,marcgunnmusic,marcgunn,bellobard,Done,In Progress,,2,497,3
Habit Calendar: Track your habits. Change your life.,Lauren,2275,13,Type 2 497/12,freeperiodpress,freeperiodpress,freeperiodpress,,Done,,,2,497,12
MORPHEUS delta; Fine Quality Resin 3D Printer at FDM price.,Ellen,1952,,Type 2 488/1,morpheus3dprinter,,,UC8yjye9IVLqmU2W9ak6BYPw,In Progress,,,2,488,1
slimJIMMY Slim RFID Wallet For Cards & Cash,Ellen,2057,,Type 2 482/1,thejimmycase,thejimmycase,thejimmyCASE,,In Progress,,Insta wont scrape,2,482,1
The Shared Dream,Rosie,560,9,Type 2 476/7,ODAMPublishing,odampublishing,,,Done,,,2,476,7
National Park Posters,Church,127,1,Type 2 467/37,NationalParkPosters,robertbdecker,,,Done,,,2,467,37
Pushee Pieces - A simple and deep strategy micro-game,Jessica,165,9,Type 2 462/3,"pocketvinyl
elizabethjancewiczart",PocketVinyl,pocketvinyl,PocketVinyl,In Progress,,,2,462,3
NOLO: VR Motion Tracking,Lauren,1233,14,Type 2 462/2,nolo.virtual.reality,nolo_vr,,UCzaQkS-koIgqs9EOTtF9z3w/videos,In Progress,,,2,462,2
PackPillow,Church,731,5,Type 2 462/1,packpillow,PearceAu,,,Done,,,2,462,1
"The First Upcycled, Zero Waste Socks - OSOM Socks!",Joseph,1847,,Type 2 460/28,osombrand,,,,Done,,,2,460,28
The Art of Cursive - Relax. Color. Learn Cursive.,Church,1553,,Type 2 459/7,ilovecursive,CursiveLogic,,,Done,,,2,459,7
A Wolf by Any Other Name: a LARP Party Game at Magic School,Jessica,138,9,Type 2 458/1,"nwmagischola
leanlarp",nwmagischola,,,Done,,,2,458,1
Majestic Wire Tree Sculptures By Andy Elliott,Jessica,1852,,Type 2 455/1,AndyElliottArt,Mist8kofficial,andy_elliott_,,Done,,,2,455,1
Espruino,Church,161,14,Type 2 450/10,espruino,Espruino,,Espruino,Done,In Progress,,2,450,10
FYB London,Church,709,14,Type 2 438/13,FYBLondonbags,FYBLondon,fyblondon,,Done,,,2,438,13
Ashes of Creation,Church,440,9,Type 2 436/6,AshesofCreation,MediaAoC,,AshesofCreation,In Progress,,Pay attn to buildup,2,436,6
Panzer Mech Weird WWII,Lauren,647,9,Type 2 436/3,westwindproductions,west_wind_tweet,,,Done,,,2,436,3
Path of Light and Shadow,Rosie,529,9,Type 2 435/1,"pathoflightandshadow
IndieBoardsAndCards",ibcgames,,,Done,,,2,435,1
Gameband: The First Smartwatch for Gamers,Joseph,1392,14,Type 2 434/5,Gameband,MyGameband,mygameband,,Done,,,2,434,5
INTRICACIES,Church,243,1,Type 2 433/3,"zoekellerart, christinamrozik","christinamrozik, zoekellerdraws","christinamrozikart, zoekellerart",,Done,,,2,433,3
Como Audio Amico,Lauren,460,14,Type 2 432/3,comoaudio,comoaudio,comoaudio,,Done,,,2,432,3
The Workingman's Cake by Delectabites,Rosie,2216,,Type 2 427/1,"kathy.k.fling (p)
The-Workingmans-Cake-by-Delectabites-1763884387187635",,,,In Progress,,,2,427,1
IVER Denmark,Lauren,543,5,Type 2 422/3,iverdenmark,,iverdenmark; ka_iver (p),,Done,,,2,422,3
Shadow of the Demon Lord Freeport Companion,Lauren,549,9,Type 2 422/3,schwalbentertainment,schwalb_ent,schwalb_entertainment,,Done,,,2,422,3
Nyx in the Overworld,Rosie,322,2,Type 2 421/6,,haridraws,haridraws,,Done,,,2,421,6
The Pirate Republic,Joseph,1433,,Type 2 421/5,PyrateRepublic,pyraterepublik,"greenfeetgames
",,Done,,,2,421,5
Skies of Fire,Lauren,501,2,Type 2 421/3,skiesofire,skiesofire,skiesofire,,Done,,,2,421,3
"The Menstrual Cup, Reinvented | Lily Cup Compact",Church,207,5,Type 2 4175/7,Intimina,intimina,intimina,UCR_3_GPO6pkhDiFU9TZRdYA,In Progress,,"Project-specific Facebook page (LilyCupSchweiz) is in Swedish. Also, Type 4 progression overall / after goal
Instagram not scraping",2,4175,7
Jelly 4G Smartphone,Church,736,14,Type 2 4171/1,getJelly,Unihertz,,UCg5WgK9KQn13sQyu2uFCkcQ,In Progress,,,2,4171,1
Dark Mages: The Arcane Order + Game Update v1.5,Rosie,948,9,Type 2 416/1,darkmages,darkmagesgame,darkmagesgame,UCLaC2sKYYeTOZ6vxfQnxOWA,In Progress,,,2,416,1
Truck Off: The Food Truck Frenzy,Rosie,1177,9,Type 2 414/1,adamsapplegames,adamsapplegames,battery_full,,Done,,,2,414,1
Nintendo Oddities & the Homebrew Revolution: Video Game Book,Lauren,977,13,Type 2 413/1,retrotainment; hagensalley,gradualgames,thesubcon3,,Done,,,2,413,1
Solowheel Iota: A Mini Personal E-Vehicle,Ellen,1965,,Type 2 409/13,inventistinc,inventistinc,,InventistInc,In Progress,,,2,409,13
Frida Kahlo Action Figure,Rosie,401,5,Type 2 404/7,todayisartday,todayisartday,todayisartday,,Done,,,2,404,7
Miki's Mini Comics vol. 1,Rosie,914,2,Type 2 402/3,MikikoPonczeck,zombiesmile,mikiko_art,,Done,,,2,402,3
The Zilker | Breathable & Sweat Wicking Every day Sneakers.,Jessica,2233,,Type 2 401/17,suavsshoes,SUAVSSHOES,suavsshoes,,In Progress,,Social Media Not Scraping,2,401,17
Winds of Change (Twitter 502),Lauren,1304,9,Type 2 390/3,klacethehusky,klace (502),,,Issue,,,2,390,3
Atlantis Miniatures: 28mm Dwarf Miniatures,Lauren,789,9,Type 2 387/4,atlantisminiatures,atlantisminis,,,Done,,,2,387,4
Heartbound,Rosie,602,7,Type 2 385/7,gopiratesoftware,PirateSoftware,,UCMnULQ6F6kLDAHxofDWIbrw,In Progress,,,2,385,7
"The Alt-Right, Trump & Me",Church,1329,13,Type 2 384/20,themikemalloyshow,MikeMalloyShow,,hschulein,In Progress,,,2,384,20
Lomond Chronoscope Hand-Wound Watch,Rosie,968,5,Type 2 384/1,marloewatchco,MarloeWatchCo,marloewatchco,UCVmd7-9Mw00ECBX-Qa94D3g,In Progress,,,2,384,1
Force Fluid,Rosie,564,5,Type 2 383/15,forcefluid,FORCEFLUID,,,Done,,,2,383,15
GROWLER CHILL,Church,1323,14,Type 2 381/1,growlerchill,GrowlerChill,growlerchill,,In Progress,,,2,381,1
The Pocket Watch inspired by the pilot watches of WW1.,Church,1374,5,Type 2 380/1,lufwatches,,lufberywatches,,Done,,,2,380,1
Sunless Skies,Lauren,1112,9,Type 2 377/1,fallenlondon; failbettergames,echobazaar; failbettergames,failbetter_games,,Done,,,2,377,1
The Few and Cursed #2,Thomas,1727,,Type 2 376/1,321FastComics,Felipe_Cagno,felipecagno,,Done,,,2,376,1
Exyra - Stylish Solution For Digital Eyestrain,Lauren,1230,14,Type 2 375/8,exyraeyewear,exyraeyewear,exyraeyewear,UCWQZEbTJ4NiOLfIS6MuZHJA,In Progress,,,2,375,8
LittleArm Big - Arduino Robot Arm for Makers and Education,Rosie,899,14,Type 2 374/7,slantrobotics,SlantConcepts,,,Done,,,2,374,7
UNAUTHORIZED,Ellen,1587,,Type 2 373/10,CharaGames,CharaGames,,,Done,,,2,373,10
Evil Twins Jigsaw Puzzle,Joseph,1547,,Type 2 368/1,Calamityware,calamityware,calamityware,/UCljK5co44XBtFtgr2OQTmjQ,Done,,,2,368,1
B is for Baller,Zoe,532,13,Type 2 364/23,matthew.shipley.56,"@jameslittlejuan
@mshipley24",shipleyillustration,,Done,,,2,364,23
SAY HI TO YOUR MOM / VINYL RECORDS,Rosie,1174,11,Type 2 361/1,umuhoh,ericelbogen,ericelbogen,,Done,,,2,361,1
LAST EXIT TO BRIGHTON,Church,69,2,Type 2 360/6,,MadRobotComics,edward_bentley_comics,,Done,,,2,360,6
Ghost Hunter Monsters,Church,429,9,Type 2 360/10,"gahstlygames (sic), kedric1 (p)",,,,In Progress,,Part of a series,2,360,10
More Than Poutine,Church,1334,13,Type 2 359/9,CelebrationGeneration,OverlordMarie,overlordmarie,,Done,,,2,359,9
Everyone: Worlds Without Walls,Lauren,1138,13,Type 2 359/16,StarShipSofa-647234088753186,starshipsofa,,,Done,,,2,359,16
The Ollie Chair,Lauren,801,5,Type 2 359/13,rockpaperrobot,rockpaperrobot,rockpaperrobot,,Done,,,2,359,13
Husband and Husband Volume 1,Rosie,1276,2,Type 2 357/13,husbandandhusband,husbandstweet,husbandandhusband,husbandandhusbandvideo,In Progress,,,2,357,13
Namesake: Volume 3 (TWITTER DOESN'T SCRAPE),Church,1047,2,Type 2 355/7,,"savvyliterate (NOT SCRAPING), secondlina",secondlina,,Issue,,,2,355,7
Vaquform,Lauren,1320,14,Type 2 355/3,vaquform,vaquform,vaquform,UCpQ3u0fk7VmW96pyS5yjqeA,In Progress,,,2,355,3
The Puzzle Keyring,Ellen,1935,,Type 2 351/1,,rmalena,rmalena,UCOAZy-WVM0Ex98yuVJiA9GA,In Progress,,,2,351,1
Live Streaming App for iPhone,Church,1198,14,Type 2 350/1,"cameleon.live.video, cameleon.software","CameleonLIVE, yatko",,CameleonLIVE,In Progress,,,2,350,1
Pod 3 - The customizable GPS tracker for everything,Ellen,2145,,Type 2 348/7,podtrackers,podtrackers,,,Done,,,2,348,7
Bedlam Hall,Church,1336,9,Type 2 347/8,MonkeyfunStudios,MonkeyfunStudio,monkeyfunstudios,UC-lSIMnzDIGRjSiAFvDo91w,In Progress,,,2,347,8
Salvation and Steel,Lauren,292,9,Type 2 346/3,salvationandsteel,,,,Done,,,2,346,3
OrbusVR,Lauren,742,9,Type 2 345/14,orbusvr,orbusvr; rileydutton (p),,,Done,,,2,345,14
Cauldron Master - A deduction & set collection witch game!,Church,1382,9,Type 2 344/3,cauldronmaster,"MasterCauldron, alleycatgames",alleycatgames,,Done,,,2,344,3
Hex Kit,Rosie,840,9,Type 2 342/8,,"rossimo
UnderRedundant
swordpeddler",,,Done,,,2,342,8
Literary Art on Letterpress,Rosie,527,13,Type 2 342/30,ObviousState,obviousstate,obviousstate,,Done,,,2,342,30
She Found Fossils: A Kid's Book About Women in Paleo,Ellen,1127,13,Type 2 341/4,drneurosaurus,DrNeurosaurus,,,Done,,,2,341,4
Bold EP and Tour!,Ellen,1044,11,Type 2 341/3,marylambertsings,marylambertsing,marylambertsing,Marylambertvevo,In Progress,,,2,341,3
Titanium Key Organizer & Knife for your Everyday Carry!,Rosie,873,5,Type 2 340/6,quietcarry.calif,,quietcarry,,Done,,,2,340,6
LE MINI MACARON | Best 15Min Gel Nail Kit | The Perfect Gift,Joseph,1843,,Type 2 340/13,leminimacaronUS,leminimacaronUS,leminimacaron,UCWOa0iV12WN7CbdyM9GjViA,In Progress,,,2,340,13
King's Road,Lauren,1206,9,Type 2 339/5,grailgames,grailgames,grailgames,UCcMv1h2GG1ig1uI_sK22ilA,In Progress,,,2,339,5
Float: A Graphic Memoir About Anxiety,Jessica,98,2,Type 2 335/3,"TaraNormalActivity (b)
hcnoel (p)","Tara_Normal 
shelley_noel
hcnoel",howienoel,,In Progress,,,2,335,3
Memo Box Mini,Rosie,632,14,Type 2 331/9,memoboxsmartpillbox,smartpillbox,,,Done,,,2,331,9
Epic Digital Card Game,Rosie,868,9,Type 2 331/1,EpicCardGame,EpicCardGame,,,Done,,,2,331,1
MLB Game-Used Baseball Beanie: Choose Your Team,Lauren,2277,6,Type 2 328/2,UncommonGoods,UncommonGoods,UncommonGoods,,Done,,,2,328,2
AEGIS: Super Combining Robot Tactics,Lauren,499,9,Type 2 324/3,projectaegis,zephyr_workshop,,,Done,,,2,324,3
PLAYBULB Solar - Revolutionizing Outdoor Lighting,Rosie,1022,14,Type 2 321/1,mipowglobal,MipowGlobal,mipowglobal,,Done,,,2,321,1
Audio Injector Octo multichannel sound for the Raspberry Pi,Church,2108,,Type 2 320/13,audioinjector,flatmax,,,Done,,,2,320,13
Eskimo Bob,Rosie,520,9,Type 2 316/10,eskimobob,EskimoBobTomas,,,Done,,,2,316,10
Magcord: 3-10X Faster Charging Cord with 100% Safety Design,Church,2263,14,Type 2 313/8,Magcord-202862483451555,themagcord,,UC7xTbC_MAn8DQg1NXkNhVFA,In Progress,,,2,313,8
Regatta Chronograph,Church,738,5,Type 2 313/1,RosslingCo,rosslingco,rosslingco,,Done,,,2,313,1
