id,postUrl,message,cta,intents
156888,https://twitter.com/gregorybayne/status/846926202006781952,Just 2.5 hrs left to meet our bonus pledge for #6DynamicLaws. 3 kind backers &amp; $909 in new pledges gets us $2500. https://t.co/8XR3b713Wv,,
156889,https://twitter.com/gregorybayne/status/846919866858688512,"Yes, what he said. https://t.co/34pFbbRPDO",,
156890,https://twitter.com/gregorybayne/status/846911364878680064,"RT @mathowie: someday I hope to see Ted Cruz' browser history on a t-shirt, sold at @cottonbureau https://t.co/9Y2hY69rh9",,
156891,https://twitter.com/gregorybayne/status/846904628742533121,RT @ACLU: BREAKING: Congress votes to gut #broadbandprivacy protections. https://t.co/mipfLBSKRo,,
156892,https://twitter.com/gregorybayne/status/846901486013505537,"Friends, we're $1,195 &amp; 9 backers away from a bonus pledge of $2500 toward #6DynamicLaws. #SupportIndieFilm? https://t.co/8XR3b713Wv",,
156893,https://twitter.com/gregorybayne/status/846883810549497856,"Tomorrow night! Live telethon via FB-Live. We drink, talk #6DynamicLaws, show clips, with any luck, raise our goal!â€_ https://t.co/7EZRUjYeDB",,
156894,https://twitter.com/gregorybayne/status/846881904431312896,"Just 13 backers &amp; $1550 away from a $2500 bonus pledge for #6DynamicLaws! TY for RTing, pledging &amp; being amazing!â€_ https://t.co/4Sf4L2bvHT",,
156895,https://twitter.com/gregorybayne/status/846839048861822977,"19 new backers &amp; $2,205 in pledges to go before midnight &amp; we receive a $2500 bonus pledge! Join team #6DynamicLaws: https://t.co/8XR3b6Jt4X",,
156896,https://twitter.com/gregorybayne/status/846834834257461249,"6 new backers are in for #6DynamicLaws! Thank you! 19 more &amp; we receive a bonus pledge! Trailer, and more here: https://t.co/8XR3b6Jt4X",,
156897,https://twitter.com/gregorybayne/status/846832755258380288,@LafleurJennifer Thank you (to my favorite actress in the land) for sharing the #6DynamicLaws Drive to 25!,,
156898,https://twitter.com/gregorybayne/status/846818692327464966,"21 moe backers for #6DynamicLaws we get at $1250 bonus pledge. $2500 more raised, we get an additional $1250 bonus! https://t.co/8XR3b6Jt4X",,
