"id","handle","postDate","postType","postUrl","imageUrl","source","sourceId","message","hashtag","cta","paid","comments","shares","likes","views","dislikes","interview","survey","notes","createdAt","updatedAt","CampaignId","intents"
156899,"gregorybayne","""2017-03-28T19:14:40.000Z""","post","https://twitter.com/gregorybayne/status/846802739824857088","","twitter","846802739824857100","3 new backers in the past 10 mins! 22 more &amp; we get a bonus pledge! #6DynamicLaws #SupportIndieFilm #FinalHours https://t.co/8XR3b6Jt4X","6DynamicLaws,SupportIndieFilm,FinalHours",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156900,"gregorybayne","""2017-03-28T18:41:38.000Z""","post","https://twitter.com/gregorybayne/status/846794424650809345","","twitter","846794424650809300","@grking Thanks for sharing, and being among the 1st to back #6DynamicLaws, Gary!","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156901,"gregorybayne","""2017-03-28T18:40:49.000Z""","post","https://twitter.com/gregorybayne/status/846794218966319105","","twitter","846794218966319100","@FirstGlanceFilm Thanks for sharing the #6DynamicLaws Campaign!","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156902,"gregorybayne","""2017-03-28T18:38:16.000Z""","post","https://twitter.com/gregorybayne/status/846793577762095104","","twitter","846793577762095100","Friends! We've been challenged! $2,500 bonus pledge on the line for #6DynamicLaws! Kindly, RT, Pledge &amp; Share.… https://t.co/tntyit1K3a","6DynamicLaws",,,,2,6,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156903,"gregorybayne","""2017-03-28T16:02:25.000Z""","post","https://twitter.com/gregorybayne/status/846754359182528517","","twitter","846754359182528500","2 DAYS LEFT. #SupportIndieFilm &amp; join team #6DynamicLaws described as ""So damned funny I peed myself a little.""… https://t.co/W1tXDTC3zk","SupportIndieFilm,6DynamicLaws",,,,1,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156904,"gregorybayne","""2017-03-28T02:36:21.000Z""","post","https://twitter.com/gregorybayne/status/846551506190983169","","twitter","846551506190983200","Less than $1400 away from 50% funded my friend. Thank you so damned much. 3 Days 3 &amp; 1/2 Hours to Go. https://t.co/8XR3b713Wv #6DynamicLaws","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156906,"gregorybayne","""2017-03-28T01:47:51.000Z""","post","https://twitter.com/gregorybayne/status/846539297062727680","","twitter","846539297062727700","I miss Canada. And Sasquatch hunting. Thanks for this @mikebabz. Go give these guys a vote. https://t.co/CqZOtYincG https://t.co/ysu2q7jFjI","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156907,"gregorybayne","""2017-03-28T01:19:22.000Z""","post","https://twitter.com/gregorybayne/status/846532129886384128","","twitter","846532129886384100","The reviews from our @filmfortfest screening are in! Just 3 days and hours to go join team #6DynamicLaws:… https://t.co/ePsVOOd4da","6DynamicLaws",,,,1,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156908,"gregorybayne","""2017-03-28T00:10:23.000Z""","post","https://twitter.com/gregorybayne/status/846514771293745152","","twitter","846514771293745200","We're less than $1600 from 50% funded for #6DynamicLaws on @kickstarter. 3 Days to go. Friends, I need you tonight. https://t.co/8XR3b713Wv","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156909,"gregorybayne","""2017-03-27T22:10:55.000Z""","post","https://twitter.com/gregorybayne/status/846484706103218178","","twitter","846484706103218200","The ol' ""let's stand on top of the van"" shot. Photo by lilarays. #6dynamiclaws #filmmaking… https://t.co/7tK4IFB6fE","6dynamiclaws,filmmaking",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156910,"gregorybayne","""2017-03-27T17:55:40.000Z""","post","https://twitter.com/gregorybayne/status/846420469448261632","","twitter","846420469448261600","One of my favorite parts of shooting #6dynamiclaws was all the great vehicles folks were kind… https://t.co/u2v6bUmOUq","6dynamiclaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156911,"gregorybayne","""2017-03-27T14:56:40.000Z""","post","https://twitter.com/gregorybayne/status/846375423575404545","","twitter","846375423575404500","DEADLINE: THURSDAY 3/30 MIDNIGHT. We're nearly 50% funded for #6DynamicLaws. Love cinema? Love to laugh? Join us! https://t.co/8XR3b713Wv","6DynamicLaws",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156912,"gregorybayne","""2017-03-27T04:49:03.000Z""","post","https://twitter.com/gregorybayne/status/846222509968019456","","twitter","846222509968019500","RT @mikebabz: Support #indiefilm @gregorybayne ""6 Dynamic Laws for Success"" A Noir Comedy on @Kickstarter https://t.co/P6LIgraig2","indiefilm",,,,2,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156913,"gregorybayne","""2017-03-27T01:10:20.000Z""","post","https://twitter.com/gregorybayne/status/846167469160988673","","twitter","846167469160988700","Thanks for joining team #6DynamicLaws Yancey! https://t.co/TAFZWwppSn","6DynamicLaws",,,,1,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156914,"gregorybayne","""2017-03-26T21:15:55.000Z""","post","https://twitter.com/gregorybayne/status/846108478062022656","","twitter","846108478062022700","Hey, @filmfortfest. I love you. https://t.co/d0stOr05a2","",,,,0,4,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156915,"gregorybayne","""2017-03-26T19:35:50.000Z""","post","https://twitter.com/gregorybayne/status/846083289202929664","","twitter","846083289202929700","Some of the varied #insparations for #6dynamiclaws • Down by Law • Eraserhead • In Cold Blood •… https://t.co/LdCH2QEIO8","insparations,6dynamiclaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156916,"gregorybayne","""2017-03-26T18:58:34.000Z""","post","https://twitter.com/gregorybayne/status/846073910235820033","","twitter","846073910235820000","Just 3 backers away from 140 strong for #6DynamicLaws! I know we can do this. Thanks for jumping onboard friends! https://t.co/8XR3b713Wv","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156917,"gregorybayne","""2017-03-26T16:09:31.000Z""","post","https://twitter.com/gregorybayne/status/846031368156954624","","twitter","846031368156954600","We're screening a work-in-progress of the full film today @filmfortfest! 4:30pm #Boise… https://t.co/nrvVW8SpsI","Boise",,,,1,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156918,"gregorybayne","""2017-03-26T16:06:51.000Z""","post","https://twitter.com/gregorybayne/status/846030698389561345","","twitter","846030698389561300","$17,430 pledged of $44,000 goal • 134 backers strong • 4 Days &amp; change to go. Join our team for #6DynamicLaws here: https://t.co/8XR3b713Wv","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156919,"gregorybayne","""2017-03-26T15:14:25.000Z""","post","https://twitter.com/gregorybayne/status/846017504577126400","","twitter","846017504577126400","$17,430 raised of our $44,000 goal! #6dynamiclaws! We have 5 DAYS LEFT to meet this… https://t.co/wtH1Ir6qwa","6dynamiclaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
