Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
The Speedbumps,Church,110,11,Type 1 127/88,thespeedbumps,thespeedbumps,thespeedbumps,theSpeedbumps,In Progress,,,1,127,88
Thyme Bandit,Church,112,8,Type 4 102/95,thymebanditchef,thymebanditchef,,,Done,In Progress,,4,102,95
Remember Me Rescue,Church,113,7,Type 1 101/87,RMRMovie,rmrdocumentary,,UCpQRC4mLVlCl7FzkUmFIEqA,In Progress,,,1,101,87
The Aviary Cocktail Book,Jessica,114,8,Type 2 847/1,"The-Aviary-116137495084710,
roisterchicago",AviaryCocktails,,Aviary Cocktails,In Progress,,,2,847,1
The White Box Game Design,Rosie,117,9,Type 2 1190/3,"jeremy.holcomb.52 (p)
Jeff.L.Tidball (p)
AtlasGames (b)","gameplaywright
jefftidball",,,Done,In Progress,,2,1190,3
Spell Stealers,Church,118,9,Type 3 23/na,gregsantogames,GregSantoGames,,,Done,,,3,23,0
Temple Black Debut Album 'Labyrinthine',Jessica,120,11,Type 2 124/9,templeblack5,,,,Done,,,2,124,9
Frank Shirts presents: The Architect's Daughter,Jessica,122,11,Type 1 100/100,aarontapavicza,aarontap,,,Done,,,1,100,100
Fairyland,Church,123,13,Type 4 140/87,"twigthefairy, zinniathefairy",,,,Done,,,4,140,87
The Awakened: Modern,Jessica,124,13,Type 2 245/12,eSpecBooks,"eSpecBooks
DMcPhail",,,Done,,,2,245,12
Sugar Fueled Sweet Seconds,Church,125,2,Type 4 126/83,sugarfueledart (p),sugarfueled,sugarfueled,,Done,In Progress,,4,126,83
National Park Posters,Church,127,1,Type 2 467/37,NationalParkPosters,robertbdecker,,,Done,,,2,467,37
Virginia Marcs,Rosie,129,11,Type 4 106/98,"VirginiaMarcs (b)
GinyaGoebel (p)",virginiamarcs,ginyamarcs,,Done,In Progress,,4,106,98
"Help Jesse make a new record! ""Foundations"" Project",Church,130,11,Type 1 134/81,Jessamondo22 (p) (may not be relevant),jessebhanson,jessebhanson,UCrf5eUzNMdEYXpYqC5660sw,In Progress,,,1,134,81
CRAVAR Leather Journal,Church,131,5,Type 1 132/76,cravar,cravarbag,cravar,,Done,In Progress,,1,132,76
"Debut EP ""Smokes""",Church,132,11,Type 1 103/94,wooparkgrooves,wooparkgrooves,wooparkgrooves,,In Progress,,,1,103,94
Mona & I at the CLAW Festival,Jessica,133,15,Type 1 100/100,Mona-I-804270749737743,,,,Done,,,1,100,100
Three Sails,Church,134,11,Type 2 153/33,thekissers,thekissers,,thekissersband,In Progress,,,2,153,33
Editing THIN ICE climate science documentary for broadcast,Church,135,7,Type 4 125/90,ThinIceClimate,thiniceclimate,,,Done,,,4,125,90
Pass It On! A Children's Book by Gloria J. McEwen Burgess,Jessica,136,13,Type 2 121/23,twosylviaspress,twosylviaspress,,,Done,,"Lots of posts, but weird early spike, odd graph shape, and generally irrelevant SM",2,121,23
Howard's Cafe,Church,137,8,Type 4 110/90,howardskcmo,howardskcmo,,,Done,,,4,110,90
A Wolf by Any Other Name: a LARP Party Game at Magic School,Jessica,138,9,Type 2 458/1,"nwmagischola
leanlarp",nwmagischola,,,Done,,,2,458,1
The Evergreen Review,Jessica,140,13,Type 1 103/90,"EvergreenReview
dale.peck.773 (p)","EvergreenReview
dalepeck",,,In Progress,,,1,103,90
Tantamount,Church,143,11,Type 1 100/100,composingcomposer,film_scores,,,Done,,,1,100,100
Nick Dahlquist - New Album 2017,Jessica,145,11,Type 4 104/100,nickdahlquistmusic,nick_dahlquist,nickdahlquist,,In Progress,,,4,104,100
Artilect,Church,148,11,Type 3 20/na,Artilect,artilectband,,,Done,,,3,20,0
Build a Vegan Butcher Shop with The Herbivorous Butcher,Jessica,149,8,Type 1 123/80,theherbivorousbutcher,,theherbivorousb,The Herbivorous Butcher,In Progress,,,1,123,80
The Legendary Joe McQueen Quartet- a new album!,Church,150,11,Type 2 148/58,"ryan.conger (p), TheJoeMcQueenQuartet (b)",,,UC93xg7NzN92r5kYQ1jEvYUg,Done,In Progress,,2,148,58
Medusa Brewing Company: Brewery and Taproom,Jessica,151,8,Type 2 183/24,medusabrewing,,medusabrewing,,In Progress,,,2,183,24
Ransomed Soul - Dan Lank,Jessica,154,11,Type 2 215/15,danlankmusic,danlank,,,Done,,,2,215,15
The Phoenix Brewpub,Church,155,8,Type 1 108/94,ThePhoenixOW,phoenixbrewpub,,,Done,,,1,108,94
ShutterEaze,Church,156,14,Type 1 114/90,ShutterEaze-377010709049528,ShutterEaze,,,Done,,,1,114,90
The Odd Folk (new album!),Jessica,157,11,Type 1 106/84,theoddfolkmusic,theoddfolk1,,,Done,,,1,106,84
Le Collektor Hoodies,Church,158,6,Type 1 102/97,LeCollektor,LeCollektor,LeCollektor,,Done,In Progress,,1,102,97
Uptown Jump - A New Album from Glenn Crytzer's Savoy Seven!,Church,159,11,Type 2 114/48,glenncrytzermusic,glenncrytzer,glenncrytzer,,Done,In Progress,,2,114,48
