score,word
1,unforgettable
1,booknnpledge
1,2911
1,again
1,surpass
1,script
1,look
1,offeringnnhttpstco5qhlemjwfy
1,custom
1,clay
1,sculptures
1,httpstcocfdagircnb
1,lt3nnpledge
1,httpstcovmegk5w0zl
1,debut
1,cardinalinpledge
1,h
1,httpstco26mgpkmvkd
1,ensure
1,httpstcoyrmduwv0xy
1,sold
1,5589
1,heating
1,follow
1,stuffnnpledge
1,httpstcok1dozgtqzp
1,seriesnnpledge
1,httpstco5ptxagatjl
1,httpstcodezbb5injh
1,4page
1,gar
1,httpstcou6badyalwg
1,httpstcoouzsoyv8h2
1,currently
1,5170
1,garbage
1,girlnnpledge
1,httpstconh4wfqmtdx
1,between
1,facebook
1,5000nnhttpstcobtsdvdqopr
1,httpstcoukan115igv
1,michaeldolce
1,tune
1,code
1,httpstcooyhujzdrfz
1,httpstcola94vjb2x5
1,act
1,grimm
1,fairy
1,tales
1,judas
1,breed
1,joined
1,httpstcoe9zoyq4wii
1,kickstarternnfundclonsters
1,comicsnnpledge
1,httpstcoyv1k0slilx
1,benefits
1,cl
1,httpstcodddawxbqrq
1,customize
1,whatever
1,looking
1,worked
1,consistently
1,httpstcon6i7jduj4n
1,portfolio
1,critique
1,pitch
1,both
1,creatorowned
1,wfh
1,evaluation
1,pitchesn
1,proofingediting
1,noncredited
1,fit
1,within
1,hourlong
1,sessions
1,threesession
1,course
1,taught
1,300
1,affordable
1,indepth
1,levelnnpledge
1,httpstcofinlewwqtv
1,quicklynnjust
1,51
1,httpstcomquksvljc5
1,est
1,contributor
1,httpstcoxakvydwso0
1,httpstco5qhlemrvo0
1,httpstco06whgpcphm
1,103
1,4500
1,httpstco3cxmvymbvy
1,httpstco6bapyemlwl
1,stream
1,upgrades
1,backstock
1,years
1,worth
1,publishing
1,httpstco1pgjvvxcrd
1,printsnfundclonstersnnpledge
1,httpstco8kco9mp2rv
1,httpstco2n9uirre3u
1,artnnwere
1,httpstcoi6dcpa0ssw
1,ten
1,means
1,published
1,didnt
1,catch
1,earlier
1,posts
1,info
1,threadnnpledgenhttpstco5qhlemrvo0
1,hard
1,tomorrownnpledge
1,httpstcoyoo3isp04c
1,boost
1,httpstcocishffqcfl
1,httpstcoceqlqyxsd6
1,onennfundclonsters
1,nnpledge
1,httpstcoufhofkonyh
1,httpstcoejiplae1e0
1,fullcolor
1,alberrod
1,slotnnpledge
1,httpstcoz5fybvawcu
1,88
